iter	Passed	Remaining
0	0	93
1	1	82
2	2	79
3	3	75
4	3	73
5	4	71
6	5	72
7	6	72
8	7	72
9	7	70
10	8	70
11	9	69
12	10	68
13	11	67
14	11	66
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	62
21	17	61
22	18	60
23	19	60
24	19	59
25	20	58
26	21	57
27	22	57
28	22	56
29	23	55
30	24	54
31	25	54
32	26	53
33	27	53
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	48
41	33	46
42	34	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	68	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	77	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
